"Date" "Value"
"714" 2015-01-07 NA
"715" 2015-01-08 NA
"716" 2015-01-09 NA
"717" 2015-01-10 NA
"718" 2015-01-11 NA
"719" 2015-01-12 NA
"720" 2015-01-13 NA
"721" 2015-01-14 NA
"722" 2015-01-15 NA
"723" 2015-01-16 NA
"724" 2015-01-17 NA
"725" 2015-01-18 NA
"726" 2015-01-19 NA
"727" 2015-01-20 NA
"728" 2015-01-21 NA
"729" 2015-01-22 NA
"730" 2015-01-23 NA
"731" 2015-01-24 NA
"732" 2015-01-25 NA
"733" 2015-01-26 NA
"734" 2015-01-27 NA
"735" 2015-01-28 NA
"736" 2015-01-29 NA
"737" 2015-01-30 NA
"738" 2015-01-31 NA
"739" 2015-02-01 NA
"740" 2015-02-02 0
"741" 2015-02-03 0
"742" 2015-02-04 8
"743" 2015-02-05 0
"744" 2015-02-06 0
"745" 2015-02-07 0
"746" 2015-02-08 20
"747" 2015-02-09 0
"748" 2015-02-10 0
"749" 2015-02-11 0
"750" 2015-02-12 0
"751" 2015-02-13 0
"752" 2015-02-14 1
"753" 2015-02-15 0
"754" 2015-02-16 0
"755" 2015-02-17 0
"756" 2015-02-18 NA
"757" 2015-02-19 0
"758" 2015-02-20 0
"759" 2015-02-21 0
"760" 2015-02-22 0
"761" 2015-02-23 0
"762" 2015-02-24 0
"763" 2015-02-25 0
"764" 2015-02-26 0
"765" 2015-02-27 0
"766" 2015-02-28 0
"767" 2015-03-01 0
"768" 2015-03-02 0
"769" 2015-03-03 0
"770" 2015-03-04 0
"771" 2015-03-05 0
"772" 2015-03-06 0
"773" 2015-03-07 0
"774" 2015-03-08 0
"775" 2015-03-09 0
"776" 2015-03-10 0
"777" 2015-03-11 0
"778" 2015-03-12 0
"779" 2015-03-13 0
"780" 2015-03-14 0
"781" 2015-03-15 0
"782" 2015-03-16 0
"783" 2015-03-17 0
"784" 2015-03-18 0
"785" 2015-03-19 NA
"786" 2015-03-20 0
"787" 2015-03-21 20
"788" 2015-03-22 0
"789" 2015-03-23 0
"790" 2015-03-24 0
"791" 2015-03-25 0
"792" 2015-03-26 0
"793" 2015-03-27 0
"794" 2015-03-28 0
"795" 2015-03-29 5
"796" 2015-03-30 0
"797" 2015-03-31 0
"798" 2015-04-01 0
"799" 2015-04-02 15
"800" 2015-04-03 0
"801" 2015-04-04 0
"802" 2015-04-05 60
"803" 2015-04-06 0
"804" 2015-04-07 18
"805" 2015-04-08 0
"806" 2015-04-09 0
"807" 2015-04-10 0
"808" 2015-04-11 0
"809" 2015-04-12 0
"810" 2015-04-13 0
"811" 2015-04-14 13
"812" 2015-04-15 0
"813" 2015-04-16 42
"814" 2015-04-17 0
"815" 2015-04-18 0
"816" 2015-04-19 0
"817" 2015-04-20 10
"818" 2015-04-21 5
"819" 2015-04-22 0
"820" 2015-04-23 0
"821" 2015-04-24 5
